anio,region,pais,lugar,empresa,tipos,monto_musd,resultado,desc,fuente
2026,Europa,Unión Europea,Bruselas (Comisión EU),Industria DC (lobby),secreto,,activo,"Big Tech presionó para insertar cláusula de confidencialidad en regulación EED 2024, ocultando consumo de agua y energía al público. Juristas dicen que podría violar la Convención de Aarhus.",TechPolicy Press / Investigate Europe abr 2026
2025,América del Norte,EE.UU. — Indiana,Franklin Township,Google,agua|energia,1000,cancelado,Concejo rechazó propuesta tras oposición 'Protect Franklin Township'. Preocupaciones por sobrecarga hídrica y energética.,Deccan Herald abr 2026
2025,América del Norte,EE.UU. — Arizona,Tucson,Amazon (Project Blue),agua,,cancelado,"Concejo Municipal rechazó unánimemente el proyecto por preocupaciones de agua, a pesar de que el condado había aprobado la venta del terreno.",SEHN ago 2025
2025,América del Norte,EE.UU. — Virginia,Prince William County,QTS / Compass (PW Digital Gateway),ruido|energia|tierras,24700,judicial,Al menos 3 demandas judiciales. Un juez desestimó una en oct. 2024; apelada ante el Tribunal de Apelaciones de Virginia. A marzo 2025 sigue en disputa.,Data Center Watch mar 2025
2025,América del Norte,EE.UU. — Virginia,King George County,Amazon,agua|tierras,,activo,Estado de incertidumbre por disputas entre Amazon y la Junta de Supervisores del condado.,Data Center Watch mar 2025
2025,América del Norte,EE.UU. — New Mexico,Doña Ana County,N/D (Project Jupiter),agua|tierras,,judicial,Grupos comunitarios demandaron al condado para detener incentivos al proyecto de 1.400 acres que incluía desalinización.,Data Center Watch oct 2025
2025,América del Norte,EE.UU. — Indiana,Decatur County,N/D (Jumping Bison),agua|ruido,,activo,Residentes lanzaron petición contra el campus de 550 acres a pesar de exenciones fiscales aprobadas.,Data Center Watch oct 2025
2025,América del Norte,EE.UU. — Kentucky,Oldham County,Western Hospitality Partners,agua|energia,,retirado,Datacenter de 600 MW — 'el mayor proyecto de desarrollo económico del estado' — abandonado en jul. 2025.,Heatmap News ene 2026
2025,América del Norte,EE.UU. — Alabama,Bessemer,N/D,ruido|aire|secreto,,activo,"Campus de 700 acres enfrenta feroz oposición por acusaciones de ruido, polución y falta de transparencia.",Data Center Watch mar 2025
2025,América del Norte,EE.UU. — Texas,Fort Worth,N/D (Rock Creek East),agua,750,judicial,Obtuvo rezonificación pero enfrenta desafíos legales sobre regulaciones de agua.,DataCenterKnowledge abr 2026
2025,América del Norte,EE.UU.,Nacional,Toda la industria,agua|energia|ruido,,activo,"Greenpeace USA, Friends of the Earth y Food & Water Watch exigieron al Congreso una moratoria nacional en la construcción de nuevos datacenters.",The Register dic 2025
2025,América del Sur,Brasil — Ceará,Caucaia (Complejo Pecém),TikTok / ByteDance / Casa dos Ventos,indigena|agua|tierras,10000,judicial,Pueblo Anacé no fue consultado sobre proyecto en territorio ancestral. El 4/8/2025 ocuparon la sede de SEMACE y FUNAI. Demanda formal exige cancelación del licenciamiento ambiental. Inversión: USD 8.700 M.,DCD may 2026 / Rest of World dic 2025 / Pulitzer Center
