id,nombre,operador_norm,web,continente,pais,pais_iso,ciudad,direccion,latitud,longitud,estado,estado_ord,anio_registro,inversion_usd_m,cap_mw,consumo_electrico_mw,consumo_agua_ml_año,agua_indirecta_ml_año,agua_total_ml_año,co2_ton_año,tecnologia_refrigeracion,riesgo_hidrico_cuenca,riesgo_hidrico_cuenca_ord,riesgo_hidrico_pais,riesgo_hidrico_pais_ord,divergencia_pais_cuenca,bws_descripcion,tamaño_categoria,tamaño_porredes
4024,Datacenter APJII-Cyber,Asosiasi Penyelenggara Jasa Internet Indonesia,https://www.iix.net.id,Asia-Pacífico,Indonesia,ID,Jakarta Selatan,Cyber Building,-6.238125,106.824443,operativo,2,2017,,,110.6,1743940800,2441517120,4185457920,418546,evaporativa (agua),Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
58,Digital Realty Frankfurt FRA1-27,Digital Realty,https://www.digitalrealty.com/data-centers/emea/frankfurt,Europa,Alemania,DE,Frankfurt,Hanauer Landstrasse 298,50.11925,8.735199,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,evaporativa (agua),High (40-80%),4.0,Medium - High (20-40%),3.0,1.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
165,Equinix SP4 - São Paulo,"Equinix, Inc.",https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/,América del Sur,Brasil,BR,Barueri,"Av. Ceci, 1900 - Res. Tambore",-23.497589,-46.814577,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,mixto,High (40-80%),4.0,Low - Medium (10-20%),2.0,2.0,MEDIO-BAJO: 10-20% del agua comprometida,,internacional
60,"Equinix FR5 - Frankfurt, KleyerStrasse","Equinix, Inc.",https://www.equinix.com/locations/germany-colocation/frankfurt-data-centers/fr5/,Europa,Alemania,DE,Frankfurt,Kleyerstrasse 90,50.09885,8.632004,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,mixto,High (40-80%),4.0,Medium - High (20-40%),3.0,1.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
282,Equinix SG1 - Singapore,"Equinix, Inc.",https://www.equinix.com/locations/singapore-colocation/singapore-data-center/sg1/,Asia-Pacífico,Singapur,SG,Singapore,20 Ayer Rajah Crescent,1.295229,103.789842,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,mixto,Low (<10%),1.0,NoData,-1.0,2.0,SIN DATO,,internacional
5657,IDC 3D,PT. Internetindo Data Centra Indonesia,http://www.idc.co.id/,Asia-Pacífico,Indonesia,ID,Jakarta Selatan,Jl. Duren Tiga Raya No.7H,-6.253714,106.832834,operativo,2,2018,,,110.6,1743940800,2441517120,4185457920,418546,evaporativa (agua),Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
1,"Equinix DC1-DC15,DC21-DC22 - Ashburn","Equinix, Inc.",http://www.equinix.com/,América del Norte,Estados Unidos,US,Ashburn,21715 Filigree Ct,39.016363,-77.459023,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
18,NIKHEF Amsterdam,Nikhef,http://www.nikhefhousing.nl,Europa,Países Bajos,NL,Amsterdam,Science Park 105,52.356394,4.950837,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,evaporativa (agua),Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,internacional
850,"Teraco Johannesburg Campus, South Africa",Teraco Data Environments Pty Ltd,http://www.teraco.co.za,África,Sudáfrica,ZA,Johannesburg,5 Brewery Street,-26.137957,28.197517,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,evaporativa (agua),High (40-80%),4.0,High (40-80%),4.0,0.0,ALTO: entre 40-80% del agua disponible comprometida,,internacional
53,Telehouse - Paris 2 (Voltaire - Léon Frot),Telehouse - Global Data Centers,http://www.telehouse.fr,Europa,Francia,FR,Paris,137 Boulevard Voltaire,48.856654,2.38532,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,evaporativa (agua),Low - Medium (10-20%),2.0,Medium - High (20-40%),3.0,-1.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
19,CoreSite - Los Angeles (LA1) One Wilshire,CoreSite,http://www.coresite.com,América del Norte,Estados Unidos,US,Los Angeles,624 S. Grand Ave.,34.047942,-118.255564,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,mixto,Extremely High (>80%),5.0,Medium - High (20-40%),3.0,2.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
7,Equinix CH1/CH2/CH4 - Chicago,"Equinix, Inc.",http://www.equinix.com/,América del Norte,Estados Unidos,US,Chicago,350 E Cermak Rd,41.85365,-87.618342,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
15,"Equinix MI1 - Miami, NOTA","Equinix, Inc.",https://www.equinix.com/locations/americas-colocation/united-states-colocation/miami-data-centers/mi1/,América del Norte,Estados Unidos,US,Miami,50 NE 9th St,25.782648,-80.193157,operativo,2,2010,,,110.6,1743940800,2441517120,4185457920,418546,mixto,Low - Medium (10-20%),2.0,Medium - High (20-40%),3.0,-1.0,MEDIO-ALTO: 20-40% del agua comprometida,,internacional
