variable,bloque,tipo,unidad,naturaleza,descripcion,formula_o_procedencia,valores_o_rango
id,Identificación,entero,—,identificador,ID único del datacenter. Heredado de PeeringDB para operativos; IDs sintéticos para megaproyectos.,Clave primaria PeeringDB.,min=1; máx=90054
nombre,Identificación,texto,—,declarado,Nombre del datacenter tal cual figura en la fuente original.,Fuente original.,—
operador,Identificación,texto,—,declarado,Operador o propietario en su forma original sin normalizar.,Fuente original.,—
operador_norm,Identificación,texto,—,derivado,Operador normalizado (limpieza y estandarización de nombres). Usado como clave de agregación.,Normalización manual de operador.,—
web,Identificación,texto/URL,—,declarado,Sitio web del operador o datacenter.,Fuente original (PeeringDB).,—
continente,Localización,categórico,—,declarado,Continente o macro-región geográfica.,Fuente original.,Europa; América del Norte; Asia-Pacífico; América del Sur; Australia; África
pais,Localización,categórico,—,declarado,País en español.,Fuente original.,—
pais_iso,Localización,categórico,código ISO-2,declarado,Código de país ISO 3166-1 alfa-2.,Fuente original.,—
ciudad,Localización,texto,—,declarado,Ciudad donde se ubica el datacenter.,Fuente original.,—
direccion,Localización,texto,—,declarado,Dirección postal del datacenter.,Fuente original (~4% nulos).,—
latitud,Localización,float,grados,medido,Latitud en sistema WGS84.,Geocodificación / fuente original.,min=-82.86; máx=71.37
longitud,Localización,float,grados,medido,Longitud en sistema WGS84.,Geocodificación / fuente original.,min=-156.49; máx=153.02
estado,Estado operativo,categórico,—,declarado,Estado operativo del datacenter.,Fuente original.,operativo (n=5263); construccion (n=22); planificado (n=26)
estado_ord,Estado operativo,entero ordinal,—,derivado,Codificación ordinal de estado para uso en modelos y ordenamiento.,"Mapeo: planificado=0, construccion=1, operativo=2.",0; 1; 2
cap_mw,Energía,float,MW,declarado,Capacidad de potencia instalada (nameplate capacity). Solo disponible para 31 megaproyectos con datos declarados públicamente. NaN para el resto.,"Declaraciones públicas de proyectos (prensa, DCD, Reuters).",min=20; máx=13000; mediana=600 (solo 31 valores)
pue_estimado,Energía,float,ratio,derivado (sin documentar),"Estimación de PUE por fila. No se usa en el cálculo de consumo_electrico_mw ni en ninguna fórmula publicada del sitio, que usan un PUE=1.58 fijo (ver Fórmulas). Se restauró para el análisis de tecnología de refrigeración en la página Agua — su método de cálculo original no quedó documentado, tratar con cautela.",Estimación interna — procedencia no documentada.,min=1.12; máx=1.80; mediana=1.80 (3 nulos)
wue_estimado,Agua,float,L/kWh (?),derivado (sin documentar),"Estimación de WUE por fila. No se usa en el cálculo de agua_total_ml_año ni en ninguna fórmula publicada del sitio, que usan un WUE=1.8 L/kWh fijo (ver Fórmulas). Se restauró para el análisis de tecnología de refrigeración en la página Agua — la escala de valores (miles) no coincide con un WUE convencional en L/kWh, su unidad y método de cálculo no quedaron documentados, tratar con cautela.",Estimación interna — procedencia no documentada.,min=4892; máx=9589; mediana=5708 (57 nulos)
consumo_electrico_mw,Energía,float,MW,derivado (FÓRMULA),Consumo eléctrico operativo estimado. Para los 31 con cap_mw real se calcula desde ese valor. Para el resto se estima desde cap_mw de referencia por tamaño_porredes.,C_elec = cap_mw_base × PUE × ρ | PUE=1.58 (LBL 2024); ρ=0.70 (Uptime Institute 2024),min=0.28; máx=14378; mediana=0.28
consumo_agua_ml_año,Agua,float,ML/año,derivado (FÓRMULA),Huella hídrica directa: agua consumida físicamente en sitio para refrigeración.,W_directa = C_elec × WUE × 8760 | WUE=1.8 L/kWh (Uptime Institute 2024),min=4.4M; máx=226.7B ML
agua_indirecta_ml_año,Agua,float,ML/año,derivado (FÓRMULA),"Huella hídrica indirecta: agua utilizada para generar la electricidad consumida por el datacenter, según matriz energética proxy.",W_indirecta = C_elec × h_pais × 8760 | h_pais = WUE × 1.4 (proxy cuando no hay dato país),—
agua_total_ml_año,Agua,float,ML/año,derivado (FÓRMULA),Huella hídrica total: suma de componente directa e indirecta. Variable principal para análisis de impacto hídrico.,W_total = W_directa + W_indirecta = C_elec × 8760 × (WUE + h_pais),—
co2_ton_año,Emisiones,float,tCO₂eq/año,derivado (FÓRMULA),Emisiones de CO₂ equivalente anuales derivadas del consumo eléctrico. Usa factor de emisión global promedio IEA 2024 por ausencia de factores país específicos.,E_CO2 = C_elec × FE_global × 8760 | FE_global=0.432 tCO₂/MWh (IEA 2024),min=1060; máx=54.4M tonCO₂
tecnologia_refrigeracion,Infraestructura,categórico,—,derivado,Tecnología de refrigeración asignada por categoría de tamaño y año de registro.,Asignada por reglas: tamaño + anio_registro.,mixto (n=5082); evaporativa/agua (n=178); aire/hibrido post-2024 (n=48); aire (n=3)
riesgo_hidrico_pais,Riesgo hídrico,categórico ordinal,—,externo (WRI),Baseline Water Stress a nivel país (etiqueta). Dato grueso — promedio nacional.,WRI Aqueduct 4.0 (nivel país).,Low; Low-Medium; Medium-High; High; Extremely High
riesgo_hidrico_pais_ord,Riesgo hídrico,entero ordinal 1–5,—,externo (WRI),Codificación ordinal del riesgo hídrico país.,Low(<10%)=1; Low-Medium=2; Medium-High=3; High=4; Extremely High(>80%)=5,min=1; máx=5
riesgo_hidrico_cuenca,Riesgo hídrico,categórico ordinal,—,externo (WRI),Baseline Water Stress a nivel subcuenca donde está el datacenter. Dato fino — cruce espacial punto-en-polígono. Variable principal para análisis de riesgo.,WRI Aqueduct 4.0 interpolado a la subcuenca de cada coordenada.,Low; Low-Medium; Medium-High; High; Extremely High
riesgo_hidrico_cuenca_ord,Riesgo hídrico,entero ordinal 1–5,—,externo (WRI),Codificación ordinal del riesgo hídrico de cuenca. Componente del índice de impacto.,Misma escala 1–5 que riesgo_hidrico_pais_ord.,min=1; máx=5
divergencia_pais_cuenca,Riesgo hídrico,entero,—,derivado (FÓRMULA),Diferencia entre riesgo de cuenca y riesgo de país. Positivo = cuenca en peor situación que el promedio nacional. Útil para identificar casos críticos ocultos.,Δ_riesgo = riesgo_hidrico_cuenca_ord − riesgo_hidrico_pais_ord,min=-6; máx=6; mediana=0
bws_descripcion,Riesgo hídrico,texto,—,externo (WRI),Descripción textual del nivel de Baseline Water Stress de WRI Aqueduct para la cuenca del datacenter. Útil para visualización y comunicación.,WRI Aqueduct 4.0.,Low (<10%); Medium-High (20-40%); High (40-80%); Extremely High (>80%)
tamaño_categoria,Tamaño,categórico ordinal,—,derivado,Categoría de tamaño según capacidad instalada real (cap_mw). Solo disponible para los 31 datacenters con cap_mw declarado. NaN para el resto. No comparar directamente con tamaño_porredes.,Clasificación por cap_mw: <1MW=micro; 1-10=small; 10-50=medium; 50-200=large; >200=hyperscale,hyperscale (n=23); large (n=5); medium (n=3); NaN (n=5280)
tamaño_porredes,Tamaño,categórico ordinal,—,derivado,"Categoría de tamaño por alcance de red basada en redes_conectadas. Cubre todo el dataset. Mide conectividad de red, NO potencia física. No comparar directamente con tamaño_categoria.",Clasificación por redes_conectadas: <5=local; 5-20=regional; 20-100=nacional; ≥100=internacional,local (n=3386); regional (n=1265); nacional (n=510); internacional (n=126); NaN (n=24)
anio_registro,Identificación,entero,año,declarado,Año en que el datacenter fue registrado en la fuente. Para datacenters en estado planificado puede ser un año futuro (apertura anunciada).,Fuente original (PeeringDB).,min=2010; máx=2035; mediana=2019
redes_conectadas,Conectividad,entero,cantidad,declarado,Cantidad de redes (ASNs) que reportan presencia en el datacenter.,Fuente original (PeeringDB).,min=0; máx=700; mediana=2 (27 nulos)
ix_count,Conectividad,entero,cantidad,declarado,Cantidad de puntos de intercambio de internet (IXPs) presentes en el datacenter.,Fuente original (PeeringDB).,min=0; máx=35; mediana=0 (57 nulos)
inversion_usd_m,Economía,float,millones USD,declarado,Inversión de capital declarada para el proyecto. Dato muy disperso — solo cubre grandes proyectos con cobertura de prensa.,"Declaraciones públicas de proyectos (prensa, DCD, Reuters) — misma procedencia que cap_mw.",min=52; máx=208000; mediana=3900 (solo 37 valores; 5277 nulos)
fuente_dato,Identificación,texto,—,derivado,Columna de trazabilidad que registra el origen de cada fila del dataset.,Agregada para documentar procedencia.,"PeeringDB (n=5257); resto prensa especializada: DataCenterKnowledge, DCD, BlackRidge Research, Arizton, Scala/PRNewswire, efagundes.com y otras (n=1 a 9 cada una)"
