Fecha denuncia,Via de ingreso,Departamento,Motivo 1,Motivo 2,Motivo 3,Derivacion ext 1,Derivacion ext 2
2023-01-02,Web,Lavalleja,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-03,Web,Paysandú,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-03,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-03,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,M-Defensa
2023-01-03,Web,N/A - (No aplica),"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-04,Web,Paysandú,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Paysandú,Sin Dato
2023-01-04,Web,Salto,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,OSE,Sin Dato
2023-01-04,Web,Maldonado,"Emisiones de chimenea hoteles, residencias, comercios",Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-05,Web,Canelones,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-08,Web,Paysandú,Vertidos de efluentes industriales,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-05,Correo electrónico,Canelones,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-08,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-08,Web,Maldonado,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-09,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-09,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-09,Web,Canelones,Extracción de horizontes de suelo,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-09,Web,Lavalleja,Otros,Sin Dato,Sin Dato,DINAGUA,Sin Dato
2023-01-09,Teléfono,Maldonado,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-09,Web,Canelones,Tala de Monte Nativo y/o otras especies autóctonas,Construcciones irregulares en faja de defensa de costas,Sin Dato,GD-Canelones,PNN
2023-01-10,Web,Tacuarembó,"Extracción de minerales en canteras, faja defensa de costas, área fiscal",Emisiones de chimenea y polvo (material particulado) de industrias,Otros,MSP,Sin Dato
2023-01-10,Web,Maldonado,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-10,Web,Maldonado,Otros,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-10,Web,Canelones,Extracción de horizontes de suelo,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-11,Web,Canelones,Otros,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-11,Web,Maldonado,"Vertidos de efluentes de locales comerciales, residencias","Olores molestos provenientes de comercios, residencias",Sin Dato,GD-Maldonado,Sin Dato
2023-01-11,Web,Tacuarembó,Tala de Monte Nativo y/o otras especies autóctonas,Otros,Sin Dato,MGAP-DGSA,MGAP-Dir. Forestal
2023-01-12,Correo electrónico,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-01-12,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-12,Web,Maldonado,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,GD-Maldonado,PNN
2023-01-12,Web,Canelones,Otros,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-12,Web,Paysandú,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Paysandú,Sin Dato
2023-01-12,Web,Maldonado,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-13,Correo electrónico,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-13,Web,Montevideo,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-13,Web,Montevideo,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-13,Web,Canelones,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-13,Web,Canelones,Vertido de barométricas,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-14,Web,Maldonado,"Emisiones de chimenea hoteles, residencias, comercios",Sin Dato,Sin Dato,GD-Maldonado,MSP
2023-01-14,Web,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,,Sin Dato
2023-01-16,Web,Canelones,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-14,Web,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-15,Web,Florida,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,MSP,Sin Dato
2023-01-15,Web,Montevideo,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-16,Correo electrónico,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-16,Web,Montevideo,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-16,Web,Treinta y Tres,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-18,Redes sociales,Maldonado,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-18,Correo electrónico,Colonia,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,PNN,Sin Dato
2023-01-18,Web,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,GD-Rocha,PNN
2023-01-17,Web,San José,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-17,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-17,Web,Paysandú,Residuos asimilables a urbanos,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-17,Web,San José,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-17,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-17,Web,Lavalleja,"Vertidos de efluentes de locales comerciales, residencias",Contaminación cuerpo de agua,Sin Dato,GD-Lavalleja,Sin Dato
2023-01-18,Web,Maldonado,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-18,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-18,Web,Maldonado,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-18,Web,Maldonado,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-18,Web,Maldonado,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-18,Web,Salto,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-19,Web,Canelones,Extracción de horizontes de suelo,Sin Dato,Sin Dato,MIEM-DINAMIGE,Sin Dato
2023-01-19,Web,Durazno,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Durazno,Sin Dato
2023-01-19,Web,Montevideo,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-19,Web,Soriano,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-19,Reguladora de trámite,Maldonado,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-20,Web,Lavalleja,"Vertidos de efluentes de locales comerciales, residencias",Contaminación cuerpo de agua,Sin Dato,GD-Lavalleja,Sin Dato
2023-01-21,Web,Canelones,Otros,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-21,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-22,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-22,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-22,Web,Montevideo,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-23,Web,Canelones,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-23,Web,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,PNN,Sin Dato
2023-01-23,Correo electrónico,Soriano,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-23,Web,Rocha,Otros,Sin Dato,Sin Dato,MGAP-DINARA,Sin Dato
2023-01-23,Web,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,GD-Montevideo,GD-Montevideo SIME
2023-01-23,Web,Rocha,Faja de defensas de costas,Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-01-24,Teléfono,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-24,Web,Montevideo,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-25,Teléfono,Artigas,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,GD-Artigas,Sin Dato
2023-01-25,Teléfono,Canelones,Contaminación por agroquímicos,Sin Dato,Sin Dato,MGAP-DGSA,Sin Dato
2023-01-25,Web,Maldonado,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-25,Web,Maldonado,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-25,Web,Tacuarembó,Otros,Sin Dato,Sin Dato,MGAP-Dir. Forestal,Sin Dato
2023-01-26,Web,Treinta y Tres,Emisiones de chimenea y polvo (material particulado) de industrias,Sin Dato,Sin Dato,GD-Treinta y Tres,Sin Dato
2023-01-26,Web,Canelones,Extracción de horizontes de suelo,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-26,Web,Artigas,Otros,Sin Dato,Sin Dato,GD-Artigas,Sin Dato
2023-01-26,Web,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,MSP,Sin Dato
2023-01-26,Reguladora de trámite,Durazno,Envases de plaguicidas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-23,Reguladora de trámite,Lavalleja,"Vertidos de efluentes de locales comerciales, residencias",Contaminación cuerpo de agua,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Canelones,"Residuos industriales, especiales y otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Montevideo,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-27,Web,Maldonado,Otros,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-29,Web,Salto,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Canelones,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-27,Web,Rocha,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-01-27,Web,Montevideo,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-28,Web,Paysandú,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Paysandú,Sin Dato
2023-01-28,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-29,Web,Canelones,"Residuos industriales, especiales y otros",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-29,Web,Maldonado,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-29,Web,Canelones,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-30,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-30,Correo electrónico,Durazno,Extracción de horizontes de suelo,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-30,Correo electrónico,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-31,Teléfono,Colonia,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-31,Web,Rocha,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
