"Sector","Categoría","Subcategoría",Año,"Tipo de GEI","GEI",Gg Gas,"Gg CO2 - eq (GWP)","Gg CO2 - eq (GTP)","Notation Key"
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1990,"Indirecto","NOx",0,9451,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1990,"Indirecto","CO",0,0803,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1990,"Indirecto","COVDM",0,0149,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1990,"Indirecto","SO2",8,4582,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1990,"Indirecto","NOx",2,8512,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1990,"Indirecto","CO",3,2004,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1990,"Indirecto","COVDM",0,1656,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1990,"Indirecto","SO2",13,7522,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1990,"Indirecto","NOx",11,3861,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1990,"Indirecto","CO",36,7187,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1990,"Indirecto","COVDM",4,2591,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1990,"Indirecto","SO2",5,8565,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1990,"Indirecto","NOx",6,633,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1990,"Indirecto","CO",52,596,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1990,"Indirecto","COVDM",8,1216,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1990,"Indirecto","SO2",9,5163,"N/A","N/A",
